"","x"
"1",0.985915492957746
"2",0.985915492957746
"3",0.980309423347398
"4",0.980309423347398
"5",0.974806201550388
"6",0.974806201550388
"7",0.972049689440994
"8",0.972049689440994
"9",0.971602434077079
"10",0.971602434077079
"11",0.971563981042654
"12",0.971563981042654
"13",0.970639032815199
"14",0.970639032815199
"15",0.968531468531468
"16",0.968531468531468
"17",0.967492260061919
"18",0.967492260061919
"19",0.965596330275229
"20",0.965596330275229
"21",0.96551724137931
"22",0.96551724137931
"23",0.964835164835165
"24",0.964835164835165
"25",0.963949843260188
"26",0.963949843260188
"27",0.963898916967509
"28",0.963898916967509
"29",0.963126843657817
"30",0.963126843657817
"31",0.958904109589041
"32",0.958904109589041
"33",0.958594730238394
"34",0.958594730238394
"35",0.958397534668721
"36",0.958397534668721
"37",0.956521739130435
"38",0.956521739130435
"39",0.956435643564356
"40",0.956435643564356
"41",0.955882352941176
"42",0.955882352941176
"43",0.953663793103448
"44",0.953663793103448
"45",0.951417004048583
"46",0.951417004048583
"47",0.950166112956811
"48",0.950166112956811
"49",0.949944382647386
"50",0.949944382647386
"51",0.949329359165425
"52",0.949329359165425
"53",0.94876660341556
"54",0.94876660341556
"55",0.948665297741273
"56",0.948665297741273
"57",0.948275862068966
"58",0.948275862068966
"59",0.946354883081155
"60",0.946354883081155
"61",0.946254071661238
"62",0.946254071661238
"63",0.945355191256831
"64",0.945355191256831
"65",0.944964871194379
"66",0.944964871194379
"67",0.944594594594594
"68",0.944594594594594
"69",0.943396226415094
"70",0.943396226415094
"71",0.942334739803094
"72",0.942334739803094
"73",0.940774487471526
"74",0.940774487471526
"75",0.93921568627451
"76",0.93921568627451
"77",0.939201451905626
"78",0.939201451905626
"79",0.938069216757741
"80",0.938069216757741
"81",0.937070938215103
"82",0.937070938215103
"83",0.93579766536965
"84",0.93579766536965
"85",0.935441370223979
"86",0.935441370223979
"87",0.934859154929577
"88",0.934859154929577
"89",0.930205949656751
"90",0.930205949656751
"91",0
"92",0
"93",0
"94",0
"95",0
"96",0
"97",0
"98",0
"99",0
"100",0
