"","character(0)","character(0)","character(0)","character(0)","character(0)","character(0)","character(0)","character(0)","character(0)","character(0)","character(0)","character(0)","character(0)","character(0)","character(0)","character(0)","character(0)","character(0)","character(0)","character(0)","character(0)","character(0)","character(0)","character(0)","character(0)","character(0)","character(0)","character(0)","character(0)","character(0)","character(0)","character(0)","character(0)","character(0)","character(0)","character(0)","character(0)","character(0)","character(0)","character(0)","character(0)","character(0)","character(0)","character(0)","character(0)","character(0)","character(0)","character(0)","character(0)","character(0)"
"character(0)",0,0.119659807762594,0.213903635799922,0.224877290304874,0.249594997225234,0.221256681278299,0.236883418176911,0.229158467507832,0.24790971043968,0.233309784174721,0.213166421705643,0.221140647699156,0.10487582714393,0.225249824232513,0.236188956041719,0.240325629225595,0.228724978612595,0.21847053053305,0.221511741202024,0.188310378738458,0.228492949024686,0.222982266102457,0.203162768158491,0.170353236483821,0.218908692627468,0.223710079457591,0.247502151394112,0.227073187851173,0.24336090545429,0.2254092931546,0.237575850326327,0.232428035804159,0.233302450041334,0.245579654188687,0.214023592984302,0.287136822509188,0.220799930762477,0.223771260938143,0.239762496128552,0.213751593391672,0.211595356876022,0.215711854063292,0.217331898805437,0.221032294734692,0.215195634759763,0.272911490599965,0.212748605475513,0.296875807704744,0.238201628336347,0.221303077675121
"character(0)",0.119659807762594,0,0.252240906337032,0.265558280809439,0.280956191192756,0.264977740260495,0.272327775739992,0.269967620278334,0.279251837207082,0.271956812479334,0.253175310660782,0.261552490618754,0.145545166540245,0.266439564270316,0.272176936434218,0.275575687515458,0.271446698171673,0.261833649083908,0.265126221543565,0.233632258114632,0.272472251717309,0.266933606967554,0.249162726483778,0.215608709078901,0.259312044433332,0.267963661983439,0.280773423739804,0.264382981237297,0.278975966253506,0.26469345702807,0.273130845153548,0.271364738673894,0.275078504867914,0.285241509238696,0.259180038700672,0.321545325884714,0.26064811959885,0.266863085436496,0.279551920410943,0.254368761220594,0.252898058270903,0.257882806664615,0.258895998457218,0.256798995258202,0.261316869489344,0.296252675925225,0.259911824004731,0.307654200492203,0.276053380109301,0.26068094144422
"character(0)",0.213903635799922,0.252240906337032,0,0.119616900999333,0.170192450004877,0.113329179650239,0.150390477691992,0.124220301934143,0.174511104110055,0.145545166540246,0.106494876664026,0.12765774200225,0.156380993822033,0.126066172790203,0.151365797549741,0.156129128327668,0.13074353080097,0.110485177450143,0.115349466706854,0.100066710577609,0.134421712570952,0.118755510283719,0.0978709743866301,0.120287348602705,0.113781232420662,0.119172626543807,0.1691840725426,0.135297185335601,0.165399630431323,0.133719766715315,0.152379796366761,0.145615688308031,0.132485641332554,0.154520756026418,0.103875815957422,0.220054717226454,0.120684993814915,0.117086799600551,0.145897434501765,0.107597817379881,0.104237581806486,0.108642327225836,0.11769898422695,0.134370785608499,0.105720827324307,0.213166421705644,0.103264533482179,0.241072061178953,0.150583774420225,0.124632858041443
"character(0)",0.224877290304874,0.265558280809439,0.119616900999333,0,0.176306011210581,0.112829829744312,0.156315328904664,0.119916925946099,0.187782617277041,0.153676859413474,0.117042949602283,0.134179637350683,0.171942881221198,0.131578461055389,0.161272106635839,0.161441777494586,0.127872022878201,0.108311075801912,0.113329179650238,0.0996726444387503,0.131708440797698,0.121729660572773,0.100066710577609,0.118640185653182,0.119287436422595,0.120358453029676,0.177563214423813,0.143508807145555,0.17220142713739,0.141588228005862,0.159736959098735,0.152222506849865,0.133322495937722,0.150219715200572,0.101795926220634,0.22265973760164,0.130297798023884,0.116486087537134,0.143544572580914,0.115675355152251,0.113856400052843,0.11325366209694,0.122024490930471,0.152267463291143,0.106478808029205,0.226318388568697,0.103380458742701,0.251255360851687,0.149179566180054,0.136317740097728
"character(0)",0.249594997225234,0.280956191192756,0.170192450004877,0.176306011210581,0,0.168383184698519,0.179174842279664,0.178581768193938,0.193729779697976,0.191213874942049,0.167639722484037,0.182421044453079,0.202867773421567,0.184268913112728,0.197248448614451,0.198062204721589,0.188155843391605,0.173744623344699,0.177186990093115,0.170333146474142,0.187910143687174,0.182392902466777,0.170443612223525,0.180421539262471,0.16994091658433,0.174422835920127,0.210614598950906,0.176286599593544,0.195899234414369,0.187718821583922,0.188464787371109,0.185785555261191,0.176809965216891,0.193234532486693,0.169981186944275,0.255891198089925,0.176935729440809,0.16587482864991,0.181008585444195,0.156807145522857,0.167425238332955,0.160900327861582,0.179832576735058,0.18512124244771,0.168312036155042,0.228507925785363,0.168657333641581,0.263533779702002,0.196701174652754,0.177331786219341
"character(0)",0.221256681278299,0.264977740260495,0.113329179650239,0.112829829744312,0.168383184698519,0,0.152637848704655,0.117320389457884,0.182139428922964,0.143663726392898,0.110670866955026,0.130113817178477,0.165347896161366,0.126486236442166,0.153799288942473,0.156074321175936,0.120826692811491,0.0996211295876366,0.101476050692614,0.0882742381702126,0.122444445679702,0.109941791705396,0.0864131498661917,0.110268144480039,0.107071741486017,0.110763594970418,0.171783582628833,0.138138216778461,0.164538735404376,0.135335120899317,0.156927132921774,0.141672797969121,0.122542228037395,0.143984949154296,0.0912667845052885,0.220450925578147,0.120557322319366,0.104696203174239,0.138793167490736,0.100374031006054,0.105006269765421,0.102131554979004,0.115985576315668,0.144755339613884,0.0944907948845779,0.222382912292443,0.0907214542395105,0.251391527868431,0.149064821477144,0.128085945274309
"character(0)",0.236883418176911,0.272327775739992,0.150390477691992,0.156315328904664,0.179174842279664,0.152637848704655,0,0.157992089330067,0.191821415184063,0.134917243037231,0.14950038282194,0.164330616505747,0.187919249404897,0.165285793662966,0.17929894773449,0.182908150912869,0.166800648837298,0.15230117191347,0.154985148612157,0.145415787805885,0.168362859611271,0.159993839927936,0.145873976436736,0.158002919236466,0.150856242268646,0.155470167332579,0.193004164307003,0.162392872976366,0.186823394501398,0.169082904039539,0.173793858128012,0.13625496425277,0.161250885225571,0.179718361050792,0.145262737102304,0.242663826853808,0.156194871524488,0.155821959986775,0.178447575444876,0.148984447602605,0.147390985236537,0.148570409430313,0.159125205135046,0.170303007015979,0.142347548910666,0.227479738096909,0.147495431442088,0.254247649252295,0.182299064469895,0.158575845873902
"character(0)",0.229158467507832,0.269967620278334,0.124220301934143,0.119916925946099,0.178581768193938,0.117320389457884,0.157992089330067,0,0.192604799014436,0.160047304871761,0.122779375265492,0.144802614383144,0.177080731019034,0.136179595040263,0.167415017947856,0.16641037524941,0.137442802424347,0.113946535757726,0.122974329596478,0.10873678514302,0.14116461821945,0.128085945274309,0.108815437439122,0.126540336631313,0.122262642393563,0.129375277484838,0.182542942926056,0.151467502901315,0.178639248513498,0.150288043480294,0.164507534354431,0.160517028494805,0.138361000535969,0.15357661720424,0.112647699149796,0.228650156084959,0.1379770936858,0.121546788153408,0.144944346176665,0.12245841936827,0.11859691000496,0.120656634046267,0.131239911262535,0.158089531779212,0.114141585602881,0.231698067293585,0.11171727773912,0.253668205068894,0.151139540625731,0.144885308112151
"character(0)",0.24790971043968,0.279251837207082,0.174511104110055,0.187782617277041,0.193729779697976,0.182139428922964,0.191821415184063,0.192604799014436,0,0.195190450940921,0.178044390349144,0.180734236684435,0.202318784914448,0.188192216066098,0.199842516964887,0.198812394037661,0.194073937457056,0.185250600955848,0.183589792758354,0.178370848546587,0.188228581712054,0.188237672025811,0.177649922273576,0.190092007787414,0.178476339527826,0.181339143257338,0.215330765469948,0.186850869203549,0.20683538567348,0.188201308136353,0.189307264363629,0.190972109661285,0.181989055787796,0.21076078578766,0.176354530905259,0.258214352411907,0.181904416271961,0.187244230260491,0.206089492924289,0.178687134655227,0.173833235914431,0.178246096895491,0.182261515743551,0.184760409035931,0.177967489626261,0.235230722984509,0.178082828257699,0.270094353747091,0.204806886733538,0.178111651245386
"character(0)",0.233309784174721,0.271956812479334,0.145545166540246,0.153676859413474,0.191213874942049,0.143663726392898,0.134917243037231,0.160047304871761,0.195190450940921,0,0.145850514598798,0.158208546602869,0.183132532290523,0.155327023977371,0.174039823121492,0.177486105218386,0.158046231441018,0.145791843485519,0.146202046838281,0.137218527916884,0.157601717064622,0.150822210706246,0.135448863842128,0.15164814399461,0.145062350223059,0.145286293858658,0.187362990792197,0.158219361693056,0.181424046489422,0.158240989655933,0.172638084292665,0.0958036045909031,0.159297162721501,0.17904109404498,0.138323894827386,0.234319692919975,0.149671966010308,0.148201404428537,0.170453651014489,0.136856423704091,0.14031356203678,0.140605933033511,0.150470100534907,0.162729700660998,0.134243383678262,0.228208203822965,0.137218527916885,0.254469643828854,0.17855302109507,0.147286464964389
