"","x"
"1",1
"2",1
"3",1
"4",1
"5",1
"6",1
"7",1
"8",1
"9",1
"10",1
"11",0.167671426761614
"12",0.167671426761614
"13",0.147423516007263
"14",0.147423516007263
"15",0.131761270059988
"16",0.131761270059988
"17",0.117561976659986
"18",0.117561976659986
"19",0.115992328734237
"20",0.115992328734237
"21",0.112289107676902
"22",0.112289107676902
"23",0.11228347367598
"24",0.11228347367598
"25",0.107978828467123
"26",0.107978828467123
"27",0.107723014629939
"28",0.107723014629939
"29",0.105819255110265
"30",0.105819255110265
"31",0.104164288947983
"32",0.104164288947983
"33",0.102982019513123
"34",0.102982019513123
"35",0.0903405110930997
"36",0.0903405110930997
"37",0.0899541156451628
"38",0.0899541156451628
"39",0.089488622474376
"40",0.089488622474376
"41",0.0892651774994256
"42",0.0892651774994256
"43",0.0849761185752298
"44",0.0849761185752298
"45",0.0825072512747834
"46",0.0825072512747834
"47",0.0801146744814853
"48",0.0801146744814853
"49",0.0796013535620963
"50",0.0796013535620963
"51",0.078938967329953
"52",0.078938967329953
"53",0.0767870797677771
"54",0.0767870797677771
"55",0.0752999140065073
"56",0.0752999140065073
"57",0.0744831659537503
"58",0.0744831659537503
"59",0.069395705421236
"60",0.069395705421236
"61",0.0682508305341101
"62",0.0682508305341101
"63",0.06567439230214
"64",0.06567439230214
"65",0.0656223256783837
"66",0.0656223256783837
"67",0.0640512615220349
"68",0.0640512615220349
"69",0.0605266174939139
"70",0.0605266174939139
"71",0.0600040129025488
"72",0.0600040129025488
"73",0.0594427379213998
"74",0.0594427379213998
"75",0.0582412375229625
"76",0.0582412375229625
"77",0.0570820627161521
"78",0.0570820627161521
"79",0.0562648511813049
"80",0.0562648511813049
"81",0.0490920915348318
"82",0.0490920915348318
"83",0.0485545221217142
"84",0.0485545221217142
"85",0.0463780702286804
"86",0.0463780702286804
"87",0.0459641256086583
"88",0.0459641256086583
"89",0.0454905397510506
"90",0.0454905397510506
"91",0.0442525739032329
"92",0.0442525739032329
"93",0.0369362284011662
"94",0.0369362284011662
"95",0.0331895558264303
"96",0.0331895558264303
"97",0.0300688160603818
"98",0.0300688160603818
"99",0.0176364897272397
"100",0.0176364897272397
